Stationsname,Jahr,Monat,JahrMonat,Anzahl_Fahrten,Summe_Stunden,Summe_KM,Summe_Fahrtkosten,Summe_Fahrtkosten_abzgl_Guthaben
Schierling,2025,4,2025-04,2,4.28,109.0,41.59,5.63
Schierling,2025,5,2025-05,2,7.6,159.0,61.959999999999994,51.96
Schierling,2025,6,2025-06,3,12.0,205.0,83.96000000000001,83.96000000000001
Schierling,2025,7,2025-07,1,2.4,52.0,39.71,29.71
Schierling,2025,8,2025-08,2,16.4,212.0,96.99,96.99
Schierling,2025,9,2025-09,6,43.99,551.0,237.81,237.81
Schierling,2025,10,2025-10,0,0.0,0.0,0.0,0.0
Schierling,2025,12,2025-12,1,2.58,49.0,18.77,8.77
Schierling,2026,1,2026-01,1,7.13,106.0,40.64,40.64
Schierling,2026,2,2026-02,1,8.97,124.0,50.81,50.81
Schierling,2026,3,2026-03,2,1.82,84.0,30.54,5.27
Sinzing,2025,1,2025-01,2,6.03,121.0,46.33,0.0
Sinzing,2025,2,2025-02,13,26.77,544.0,213.89000000000001,29.11
Sinzing,2025,3,2025-03,8,25.56,377.0,179.37,82.68
Sinzing,2025,4,2025-04,10,22.33,442.0,175.02,99.21000000000001
Sinzing,2025,5,2025-05,9,27.85,340.0,165.24,165.24
Sinzing,2025,6,2025-06,8,44.980000000000004,483.0,242.10999999999999,233.43
Sinzing,2025,7,2025-07,21,70.15,986.0,448.41,439.69
Sinzing,2025,8,2025-08,15,98.16,934.0,427.52,417.52
Sinzing,2025,9,2025-09,15,53.08,548.0,337.59999999999997,323.59999999999997
Sinzing,2025,10,2025-10,9,26.96,295.0,149.89,139.89
Sinzing,2025,11,2025-11,13,40.81,580.0,285.59000000000003,275.59000000000003
Sinzing,2025,12,2025-12,19,70.21,928.0,452.89,452.89
Sinzing,2026,1,2026-01,5,16.35,124.0,80.53,80.53
Sinzing,2026,2,2026-02,4,5.72,184.0,62.96,44.17
Sinzing,2026,3,2026-03,38,76.03,1946.0,884.78,422.39
Sinzing,2026,4,2026-04,17,0.0,1822.0,642.0,0.0
Sinzing,2026,5,2026-05,8,0.0,412.0,203.84,0.0
Sinzing,2026,6,2026-06,10,0.0,834.0,0.0,0.0
Wenzenbach,2025,1,2025-01,7,58.0,239.0,212.03,182.03
Wenzenbach,2025,2,2025-02,7,54.71,362.0,228.03,151.51
Wenzenbach,2025,3,2025-03,7,21.35,337.0,152.98000000000002,10.3
Wenzenbach,2025,4,2025-04,7,14.92,304.0,111.73,93.07
Wenzenbach,2025,5,2025-05,2,13.63,81.0,56.01,56.01
Wenzenbach,2025,6,2025-06,2,14.22,69.0,53.82,43.82
Wenzenbach,2025,7,2025-07,5,38.31,211.0,155.08,146.01
Wenzenbach,2025,8,2025-08,4,28.48,127.0,146.54,146.54
Wenzenbach,2025,9,2025-09,6,65.0,245.0,229.38,229.38
Wenzenbach,2025,10,2025-10,13,68.03,478.0,323.42,313.58
Wenzenbach,2025,11,2025-11,11,89.58,549.0,365.71,365.71
Wenzenbach,2025,12,2025-12,2,7.0,32.0,30.29,30.29
Wenzenbach,2026,1,2026-01,2,27.599999999999998,58.0,73.44,73.44
Wenzenbach,2026,2,2026-02,0,0.0,0.0,0.0,0.0
Wenzenbach,2026,3,2026-03,8,103.56,1616.0,746.62,373.31
Wenzenbach,2026,4,2026-04,6,0.0,290.0,236.85,0.0
Wenzenbach,2026,5,2026-05,4,0.0,180.0,118.29,0.0
Wenzenbach,2026,6,2026-06,5,0.0,318.0,0.0,0.0
